id,name,division
64,Netrokona,8
63,Jamalpur,8
62,Mymensingh,8
61,Sherpur,8
60,Kurigram,7
59,Rangpur,7
58,Thakurgaon,7
57,Gaibandha,7
56,Nilphamari,7
55,Lalmonirhat,7
54,Dinajpur,7
53,Panchagarh,7
52,Faridpur,6
51,Gopalganj,6
50,Madaripur,6
49,Rajbari,6
48,Munshiganj,6
47,Dhaka,6
46,Manikganj,6
45,Kishoreganj,6
44,Tangail,6
43,Narayanganj,6
42,Shariatpur,6
41,Gazipur,6
40,Narsingdi,6
39,Sunamganj,5
38,Habiganj,5
37,Moulvibazar,5
36,Sylhet,5
35,Barguna,4
34,Bhola,4
33,Barisal,4
32,Pirojpur,4
31,Patuakhali,4
30,Jhalakathi,4
29,Jhenaidah,3
28,Bagerhat,3
27,Khulna,3
26,Magura,3
25,Kushtia,3
24,Chuadanga,3
23,Narail,3
22,Meherpur,3
21,Satkhira,3
20,Jashore,3
19,Naogaon,2
18,Chapainawabganj,2
17,Joypurhat,2
16,Natore,2
15,Rajshahi,2
14,Bogura,2
13,Pabna,2
12,Sirajganj,2
11,Bandarban,1
10,Khagrachhari,1
9,Coxsbazar,1
8,Chattogram,1
7,Lakshmipur,1
6,Chandpur,1
5,Noakhali,1
4,Rangamati,1
3,Brahmanbaria,1
2,Feni,1
1,Comilla,1
